"uid"	"city_name"	"offense_code"	"offense_type"	"offense_group"	"offense_against"	"date_single"	"longitude"	"latitude"	"location_type"	"location_category"	"census_block"	"date_start"	"date_end"
"118"	1202836	"Austin"	"23H"	"all other larceny"	"larceny/theft offenses"	"property"	2018-03-10 17:27:00	-97.66558	30.202226	"other transportation"	"transportation"	"484539800001006"	NA	NA
"119"	1202987	"Austin"	"90Z"	"all other offenses"	"all other offenses"	"other"	2018-03-11 08:00:00	-97.697651	30.288162	"residence"	"residence"	"484530021071006"	NA	NA
"120"	1203032	"Austin"	"90C"	"disorderly conduct"	"disorderly conduct"	"society"	2018-03-11 15:29:00	-97.651209	30.389788	"residence"	"residence"	"484530018391044"	NA	NA
"121"	1203108	"Austin"	"35A"	"drug/narcotic violations"	"drug/narcotic offenses"	"society"	2018-03-11 21:49:00	-97.702002	30.338182	"street"	"street"	"484530018041002"	NA	NA
"122"	1203138	"Austin"	"90D"	"driving under the influence"	"driving under the influence"	"society"	2018-03-12 00:07:00	-97.717282	30.363569	"street"	"street"	"484530018051000"	NA	NA
"123"	1203257	"Austin"	"90J"	"trespass of real property"	"trespass of real property"	"society"	2018-03-12 15:55:00	-97.754061	30.270569	"supermarket"	"retail"	"484530012002019"	NA	NA
"124"	1203330	"Austin"	"23H"	"all other larceny"	"larceny/theft offenses"	"property"	2018-03-12 23:15:00	-97.726219	30.229358	"residence"	"residence"	"484530023141001"	NA	NA
"125"	1203549	"Austin"	"12U"	"other robbery"	"robbery"	"property"	2018-03-14 01:23:00	-97.72304	30.230383	"street"	"street"	"484530023144001"	NA	NA
"126"	1203663	"Austin"	"23H"	"all other larceny"	"larceny/theft offenses"	"property"	2018-03-14 16:29:00	-97.76119	30.235607	"residence"	"residence"	"484530013081006"	NA	NA
"127"	1204012	"Austin"	"23C"	"shoplifting"	"larceny/theft offenses"	"property"	2018-03-15 21:34:00	-97.792428	30.23282	"supermarket"	"retail"	"484530020041002"	NA	NA
"128"	1204340	"Austin"	"23H"	"all other larceny"	"larceny/theft offenses"	"property"	2018-03-17 01:00:00	-97.848364	30.198799	"residence"	"residence"	"484530017771031"	NA	NA
"129"	1204480	"Austin"	"13A"	"aggravated assault"	"assault offenses"	"persons"	2018-03-17 14:00:00	-97.707249	30.270193	"street"	"street"	"484530008023009"	NA	NA
"130"	1204518	"Austin"	"13C"	"intimidation"	"assault offenses"	"persons"	2018-03-17 16:55:00	-97.804182	30.336346	"vehicle parking"	"open space"	"484530019122004"	NA	NA
"131"	1204523	"Austin"	"23F"	"theft from motor vehicle (except theft of motor vehicle parts or accessories)"	"larceny/theft offenses"	"property"	2018-03-17 17:00:00	-97.661535	30.397848	"vehicle parking"	"open space"	"484530018392014"	NA	NA
"132"	1204562	"Austin"	"23H"	"all other larceny"	"larceny/theft offenses"	"property"	2018-03-17 19:20:00	-97.745989	30.264014	"restaurant"	"leisure"	"484530011001121"	NA	NA
"133"	1204644	"Austin"	"23F"	"theft from motor vehicle (except theft of motor vehicle parts or accessories)"	"larceny/theft offenses"	"property"	2018-03-18 00:20:00	-97.806348	30.323132	"street"	"street"	"484530019131001"	NA	NA
"134"	1204655	"Austin"	"13A"	"aggravated assault"	"assault offenses"	"persons"	2018-03-18 00:49:00	-97.751291	30.400566	"residence"	"residence"	"484530017223003"	NA	NA
"135"	1204730	"Austin"	"13C"	"intimidation"	"assault offenses"	"persons"	2018-03-18 10:38:00	-97.737265	30.303545	"gas station"	"retail"	"484530003022009"	NA	NA
"136"	1204815	"Austin"	"12U"	"other robbery"	"robbery"	"property"	2018-03-18 18:58:00	-97.709986	30.25631	"street"	"street"	"484530009022016"	NA	NA
"137"	1204989	"Austin"	"23C"	"shoplifting"	"larceny/theft offenses"	"property"	2018-03-19 16:27:00	-97.722407	30.403051	"other retail"	"retail"	"484530018491016"	NA	NA
"138"	1205083	"Austin"	"23H"	"all other larceny"	"larceny/theft offenses"	"property"	2018-03-20 02:45:00	-97.737619	30.267976	"street"	"street"	"484530011001098"	NA	NA
"139"	1205141	"Austin"	"13A"	"aggravated assault"	"assault offenses"	"persons"	2018-03-20 13:57:00	-97.735776	30.248032	"street"	"street"	"484530014021007"	NA	NA
"140"	1205475	"Austin"	"240"	"motor vehicle theft"	"motor vehicle theft"	"property"	2018-03-22 01:00:00	-97.723572	30.399169	"vehicle parking"	"open space"	"484530018491007"	NA	NA
